optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,epoch,train_loss,train_acc,test_loss,test_acc
AdaDelta,1.0,{},30,100,100,1,0.5534272432823976,0.8574166666666667,0.2791037355363369,0.9198
AdaDelta,1.0,{},30,100,100,2,0.2542395384858052,0.9262666666666667,0.21672464444302023,0.9399
AdaDelta,1.0,{},30,100,100,3,0.20133672977487246,0.9416833333333333,0.17568367287050932,0.9498
AdaDelta,1.0,{},30,100,100,4,0.16676721510787804,0.9516166666666667,0.16613741033710538,0.9519
AdaDelta,1.0,{},30,100,100,5,0.14208660585805774,0.9587,0.13552802452351898,0.9607
AdaDelta,1.0,{},30,100,100,6,0.12343800069453816,0.9634333333333334,0.12218614305602386,0.9638
AdaDelta,1.0,{},30,100,100,7,0.1090531967766583,0.9691166666666666,0.11279010934988037,0.9668
AdaDelta,1.0,{},30,100,100,8,0.09729070683630804,0.9721833333333333,0.10404796600108966,0.9689
AdaDelta,1.0,{},30,100,100,9,0.08776113367173821,0.97505,0.10055205683107488,0.9696
AdaDelta,1.0,{},30,100,100,10,0.07968697256253411,0.9774166666666667,0.09726183971739374,0.9703
AdaDelta,1.0,{},30,100,100,11,0.07297801749470333,0.9795333333333334,0.0896978266350925,0.9728
AdaDelta,1.0,{},30,100,100,12,0.06728164573510488,0.9811833333333333,0.08609952059225179,0.9739
AdaDelta,1.0,{},30,100,100,13,0.061816901594089965,0.9827333333333333,0.08364148978609592,0.9744
AdaDelta,1.0,{},30,100,100,14,0.05744582521573951,0.9841666666666666,0.08260536848451011,0.9743
AdaDelta,1.0,{},30,100,100,15,0.053436583649987976,0.98555,0.07908775453397539,0.9756
AdaDelta,1.0,{},30,100,100,16,0.04992311062640511,0.9861,0.07657318748650141,0.9764
AdaDelta,1.0,{},30,100,100,17,0.046606024613138286,0.9873333333333333,0.07623950590612366,0.977
AdaDelta,1.0,{},30,100,100,18,0.043931798903892434,0.9881,0.07633000381989405,0.9777
AdaDelta,1.0,{},30,100,100,19,0.04099840284169962,0.9892333333333333,0.0730791416548891,0.9769
AdaDelta,1.0,{},30,100,100,20,0.038571057804704954,0.99025,0.07245707956666593,0.9769
AdaDelta,1.0,{},30,100,100,21,0.03622265075100586,0.9907,0.07084579757007305,0.9775
AdaDelta,1.0,{},30,100,100,22,0.034042409929679704,0.9916666666666667,0.07165011938195676,0.9773
AdaDelta,1.0,{},30,100,100,23,0.03200484832981601,0.9922,0.07287919125665213,0.9768
AdaDelta,1.0,{},30,100,100,24,0.03020214187951448,0.9931166666666666,0.07252151352877263,0.9782
AdaDelta,1.0,{},30,100,100,25,0.02861809206272786,0.9934833333333334,0.07035671008576173,0.9789
AdaDelta,1.0,{},30,100,100,26,0.026918289960594848,0.9941333333333333,0.06923067961179186,0.9791
AdaDelta,1.0,{},30,100,100,27,0.025434091792364295,0.9947,0.06948375345644309,0.979
AdaDelta,1.0,{},30,100,100,28,0.023937366260991744,0.9950666666666667,0.07046331382676727,0.9784
AdaDelta,1.0,{},30,100,100,29,0.022812288355780766,0.9953833333333333,0.06965220378857338,0.9793
AdaDelta,1.0,{},30,100,100,30,0.021427122820556786,0.9961166666666667,0.06924594533251366,0.9784
