optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,epoch,train_loss,train_acc,test_loss,test_acc
AdaGrad,0.01,{},30,100,100,1,0.5322199603170157,0.8762333333333333,0.3311404288560152,0.9133
AdaGrad,0.01,{},30,100,100,2,0.3109304481248061,0.9149166666666667,0.2811120994761586,0.9209
AdaGrad,0.01,{},30,100,100,3,0.2741154369339347,0.9227,0.2565329385921359,0.9276
AdaGrad,0.01,{},30,100,100,4,0.25342565624664226,0.9282166666666667,0.24152350436896086,0.9303
AdaGrad,0.01,{},30,100,100,5,0.23872786944111188,0.9320666666666667,0.23010576114058495,0.9336
AdaGrad,0.01,{},30,100,100,6,0.22772112602988878,0.9357,0.22127123448997735,0.936
AdaGrad,0.01,{},30,100,100,7,0.21863870204736788,0.93795,0.21440888036973774,0.9383
AdaGrad,0.01,{},30,100,100,8,0.21098139885812997,0.94005,0.20799945297650993,0.9396
AdaGrad,0.01,{},30,100,100,9,0.2043738455635806,0.9420666666666667,0.20297503129579128,0.9415
AdaGrad,0.01,{},30,100,100,10,0.1985588026046753,0.9438166666666666,0.1975968660414219,0.944
AdaGrad,0.01,{},30,100,100,11,0.19335078936070205,0.9451166666666667,0.19310934223234655,0.9443
AdaGrad,0.01,{},30,100,100,12,0.18879393789296348,0.9461833333333334,0.18974217589013279,0.9459
AdaGrad,0.01,{},30,100,100,13,0.1844663087030252,0.9480166666666666,0.18629086795262992,0.9466
AdaGrad,0.01,{},30,100,100,14,0.18062555129329363,0.94875,0.18301794518716633,0.9476
AdaGrad,0.01,{},30,100,100,15,0.17705465039238333,0.94995,0.17991927482187747,0.9485
AdaGrad,0.01,{},30,100,100,16,0.17374926544415453,0.9505,0.1768672726675868,0.9494
AdaGrad,0.01,{},30,100,100,17,0.17064576751862964,0.9515833333333333,0.17443786000832914,0.9494
AdaGrad,0.01,{},30,100,100,18,0.16777882759148877,0.9525833333333333,0.172111889552325,0.9497
AdaGrad,0.01,{},30,100,100,19,0.16495469955727457,0.9533333333333334,0.16952433096244932,0.9509
AdaGrad,0.01,{},30,100,100,20,0.16240653342256944,0.9541333333333334,0.16761629067361355,0.9511
AdaGrad,0.01,{},30,100,100,21,0.1599719213011364,0.955,0.16558102764654906,0.952
AdaGrad,0.01,{},30,100,100,22,0.15756700592115522,0.9555166666666667,0.16354151697829367,0.9528
AdaGrad,0.01,{},30,100,100,23,0.15536975162103772,0.9563333333333334,0.16208375861868263,0.9528
AdaGrad,0.01,{},30,100,100,24,0.15329726031050087,0.9569833333333333,0.16024287857115269,0.9535
AdaGrad,0.01,{},30,100,100,25,0.15128077443068227,0.9576666666666667,0.1589245538925752,0.954
AdaGrad,0.01,{},30,100,100,26,0.1493288839608431,0.9582333333333334,0.1569453745475039,0.9545
AdaGrad,0.01,{},30,100,100,27,0.1474739232038458,0.95875,0.1555809412850067,0.955
AdaGrad,0.01,{},30,100,100,28,0.14568841233849525,0.9591833333333334,0.1542279393132776,0.9546
AdaGrad,0.01,{},30,100,100,29,0.1439583280744652,0.9595333333333333,0.15275185031816363,0.9554
AdaGrad,0.01,{},30,100,100,30,0.14230931328609586,0.9604,0.1513450240297243,0.9556
