optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,epoch,train_loss,train_acc,test_loss,test_acc
Adam,0.001,{},30,100,100,1,0.6602575741459926,0.8500666666666666,0.2996797809377313,0.919
Adam,0.001,{},30,100,100,2,0.26653165290753045,0.9247,0.23086675133556128,0.9314
Adam,0.001,{},30,100,100,3,0.2113018997386098,0.9393833333333333,0.19054121540859342,0.9449
Adam,0.001,{},30,100,100,4,0.17724729858959715,0.9495333333333333,0.16595630685798823,0.9526
Adam,0.001,{},30,100,100,5,0.1531128591609498,0.9563,0.14774640986695886,0.9566
Adam,0.001,{},30,100,100,6,0.13405135206878185,0.9615333333333334,0.1335449331998825,0.961
Adam,0.001,{},30,100,100,7,0.11836839113694926,0.9660166666666666,0.1255030703335069,0.9629
Adam,0.001,{},30,100,100,8,0.10539123648156723,0.9703833333333334,0.11456363962963223,0.9661
Adam,0.001,{},30,100,100,9,0.09418692570179701,0.9734833333333334,0.1101478313934058,0.9666
Adam,0.001,{},30,100,100,10,0.08480768530319134,0.97685,0.10202991090482101,0.9681
Adam,0.001,{},30,100,100,11,0.07622098171462616,0.9793833333333334,0.09765507500618696,0.9712
Adam,0.001,{},30,100,100,12,0.06927466411143542,0.9817,0.09101429052418097,0.9715
Adam,0.001,{},30,100,100,13,0.06252221296386172,0.9838,0.08854081837460398,0.9726
Adam,0.001,{},30,100,100,14,0.057096682589811584,0.9851666666666666,0.08640529526863247,0.9734
Adam,0.001,{},30,100,100,15,0.052241487423889336,0.9862833333333333,0.08368324561684858,0.9747
Adam,0.001,{},30,100,100,16,0.04728636699728668,0.9881333333333333,0.08065788583364338,0.9741
Adam,0.001,{},30,100,100,17,0.0433154152186277,0.9893,0.07962182646675502,0.9747
Adam,0.001,{},30,100,100,18,0.03966946945603316,0.9904166666666666,0.08137587165867444,0.9744
Adam,0.001,{},30,100,100,19,0.03594435121476029,0.9914333333333334,0.07919779447955079,0.9755
Adam,0.001,{},30,100,100,20,0.03291705979499966,0.9924166666666666,0.07771986568171997,0.9758
Adam,0.001,{},30,100,100,21,0.03005797681010639,0.9933833333333333,0.07683685700118076,0.9768
Adam,0.001,{},30,100,100,22,0.027323718684104582,0.9943,0.07726318735280074,0.9762
Adam,0.001,{},30,100,100,23,0.02495451698351341,0.9947166666666667,0.0766618195528281,0.9774
Adam,0.001,{},30,100,100,24,0.02251475916050064,0.99585,0.07724967972724699,0.9765
Adam,0.001,{},30,100,100,25,0.0208584787712122,0.9963,0.07773388270463329,0.9766
Adam,0.001,{},30,100,100,26,0.018788245278798663,0.99675,0.07555237548833248,0.9768
Adam,0.001,{},30,100,100,27,0.017073022921103985,0.99735,0.0771116884163348,0.9772
Adam,0.001,{},30,100,100,28,0.01541245777043514,0.9979166666666667,0.07754947008215822,0.9766
Adam,0.001,{},30,100,100,29,0.01396192581121189,0.99825,0.07777563276351429,0.9773
Adam,0.001,{},30,100,100,30,0.012605159969146674,0.9987333333333334,0.07687507253504008,0.9777
