optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,epoch,train_loss,train_acc,test_loss,test_acc
Momentum,0.1,{'momentum': 0.9},30,100,100,1,0.44627897401650746,0.8669,0.24158947117626667,0.9293
Momentum,0.1,{'momentum': 0.9},30,100,100,2,0.21166335894415775,0.9385,0.1713592044264078,0.9497
Momentum,0.1,{'momentum': 0.9},30,100,100,3,0.15793092646325627,0.9538833333333333,0.1385434888675809,0.9573
Momentum,0.1,{'momentum': 0.9},30,100,100,4,0.12574718998745082,0.9634833333333334,0.11998235098086298,0.9635
Momentum,0.1,{'momentum': 0.9},30,100,100,5,0.1057417643473794,0.9687166666666667,0.10449492973973974,0.9675
Momentum,0.1,{'momentum': 0.9},30,100,100,6,0.08956671604265769,0.9737333333333333,0.09696244804188608,0.971
Momentum,0.1,{'momentum': 0.9},30,100,100,7,0.07808205981273204,0.9778166666666667,0.09070488281315192,0.9712
Momentum,0.1,{'momentum': 0.9},30,100,100,8,0.06911075483541936,0.97965,0.08380699554691091,0.9736
Momentum,0.1,{'momentum': 0.9},30,100,100,9,0.06142103521774212,0.9826833333333334,0.08274360195035114,0.973
Momentum,0.1,{'momentum': 0.9},30,100,100,10,0.05495848171878606,0.9848,0.07721372341155075,0.9754
Momentum,0.1,{'momentum': 0.9},30,100,100,11,0.049623497985303404,0.9862666666666666,0.07728158202487975,0.9764
Momentum,0.1,{'momentum': 0.9},30,100,100,12,0.04540386920639624,0.9874333333333334,0.07183958925365004,0.9768
Momentum,0.1,{'momentum': 0.9},30,100,100,13,0.041351593640477705,0.98895,0.07210679179581347,0.977
Momentum,0.1,{'momentum': 0.9},30,100,100,14,0.03765291426951686,0.9904333333333334,0.07139165736269205,0.9772
Momentum,0.1,{'momentum': 0.9},30,100,100,15,0.03463825781519214,0.99135,0.06816979966999498,0.9781
Momentum,0.1,{'momentum': 0.9},30,100,100,16,0.031240498541931932,0.9926833333333334,0.06686260646674783,0.9789
Momentum,0.1,{'momentum': 0.9},30,100,100,17,0.029082971435661117,0.9932666666666666,0.06541346297046402,0.9792
Momentum,0.1,{'momentum': 0.9},30,100,100,18,0.02658935346834672,0.9940666666666667,0.06793373387146857,0.9787
Momentum,0.1,{'momentum': 0.9},30,100,100,19,0.024542491792235523,0.9948166666666667,0.06531156086159172,0.9793
Momentum,0.1,{'momentum': 0.9},30,100,100,20,0.022786138746499394,0.9954,0.06579040171753149,0.9787
Momentum,0.1,{'momentum': 0.9},30,100,100,21,0.020782050855923443,0.99605,0.06636449806508608,0.9783
Momentum,0.1,{'momentum': 0.9},30,100,100,22,0.019087708281391922,0.9966666666666667,0.06681850557419239,0.9785
Momentum,0.1,{'momentum': 0.9},30,100,100,23,0.01777701545273885,0.9970166666666667,0.06530375384332729,0.9789
Momentum,0.1,{'momentum': 0.9},30,100,100,24,0.016413641116038585,0.9975,0.06580159144621575,0.9779
Momentum,0.1,{'momentum': 0.9},30,100,100,25,0.015451905571777995,0.9978666666666667,0.06540387199434917,0.9785
Momentum,0.1,{'momentum': 0.9},30,100,100,26,0.014326103766992067,0.9981166666666667,0.06434936477220617,0.9797
Momentum,0.1,{'momentum': 0.9},30,100,100,27,0.013259413401441027,0.9983666666666666,0.0656557451288245,0.9785
Momentum,0.1,{'momentum': 0.9},30,100,100,28,0.012457702484583328,0.99845,0.0657884207413008,0.9793
Momentum,0.1,{'momentum': 0.9},30,100,100,29,0.011584330001302684,0.9988166666666667,0.0671123302738124,0.9785
Momentum,0.1,{'momentum': 0.9},30,100,100,30,0.010751229494344443,0.9989666666666667,0.06371334443014348,0.979
