optimizer,lr,kwargs,total_epochs,batch_size,hidden_size,epoch,train_loss,train_acc,test_loss,test_acc
RMSProp,0.001,{},30,100,100,1,0.47837594951192536,0.8830666666666667,0.2704745414853096,0.9246
RMSProp,0.001,{},30,100,100,2,0.24330105360597373,0.9301666666666667,0.21066357554867865,0.9395
RMSProp,0.001,{},30,100,100,3,0.19372121663143238,0.94375,0.17479923093691468,0.9481
RMSProp,0.001,{},30,100,100,4,0.16192682802677155,0.9532,0.1586008814908564,0.9536
RMSProp,0.001,{},30,100,100,5,0.13858883442357184,0.9606666666666667,0.13684924657922237,0.9596
RMSProp,0.001,{},30,100,100,6,0.12086492149469753,0.96505,0.12314924398437142,0.9629
RMSProp,0.001,{},30,100,100,7,0.10635556919189791,0.9702,0.11415629004593938,0.9647
RMSProp,0.001,{},30,100,100,8,0.0942698204703629,0.9732333333333333,0.10460181145463139,0.968
RMSProp,0.001,{},30,100,100,9,0.08418636931261668,0.97635,0.10092254417948425,0.9698
RMSProp,0.001,{},30,100,100,10,0.07574229512674113,0.9789833333333333,0.09630464595975355,0.9702
RMSProp,0.001,{},30,100,100,11,0.06842368398482601,0.9812333333333333,0.09098390345461667,0.9718
RMSProp,0.001,{},30,100,100,12,0.062205978178729616,0.9832,0.08616694743745029,0.9729
RMSProp,0.001,{},30,100,100,13,0.0560833154572174,0.98515,0.08397794568561949,0.9734
RMSProp,0.001,{},30,100,100,14,0.051230386958147085,0.9869333333333333,0.08403021507256199,0.9744
RMSProp,0.001,{},30,100,100,15,0.0468964115747561,0.9877166666666667,0.07971797733567655,0.9746
RMSProp,0.001,{},30,100,100,16,0.04275555536888229,0.9890666666666666,0.0788375091337366,0.9755
RMSProp,0.001,{},30,100,100,17,0.03907186442132418,0.9902666666666666,0.07618708723573946,0.9748
RMSProp,0.001,{},30,100,100,18,0.03591900454911714,0.9913333333333333,0.07765246467955876,0.9753
RMSProp,0.001,{},30,100,100,19,0.03269723600087066,0.9923166666666666,0.07587669480766636,0.9769
RMSProp,0.001,{},30,100,100,20,0.029942222899602106,0.9932333333333333,0.07564048911212012,0.9769
RMSProp,0.001,{},30,100,100,21,0.02735972728425016,0.9938833333333333,0.07537222903920338,0.9765
RMSProp,0.001,{},30,100,100,22,0.02502028053510003,0.9945333333333334,0.0733389701897977,0.9769
RMSProp,0.001,{},30,100,100,23,0.022657624964291852,0.9955666666666667,0.07562200087151723,0.9767
RMSProp,0.001,{},30,100,100,24,0.020635501858196223,0.99605,0.07660501152829965,0.9762
RMSProp,0.001,{},30,100,100,25,0.018974049388974283,0.9965166666666667,0.07635406646702904,0.9768
RMSProp,0.001,{},30,100,100,26,0.017142540824521955,0.9972666666666666,0.07507101024064468,0.9774
RMSProp,0.001,{},30,100,100,27,0.015636131738040907,0.9974666666666666,0.07768948398181237,0.9771
RMSProp,0.001,{},30,100,100,28,0.014081888437115898,0.9979,0.07637330499957898,0.977
RMSProp,0.001,{},30,100,100,29,0.012852819652762264,0.99835,0.07561112969589885,0.9769
RMSProp,0.001,{},30,100,100,30,0.011571107700389499,0.9985666666666667,0.07631601411805605,0.9771
